ID_producto	Descripcion
20133	PLASUTIL VASITO FROZEN  2,1 L REF;6333
201337	COLADOR
201338	COLADOR
201339	PARAGUITA
20134	PLASUTIL
201340	MOSQUITERO
201341	TIRA
201342	MANGA
201343	RALLADOR
201344	SET
201345	SET
201346	SET
201347	SET
201348	SET
201349	SET
20135	CT
201350	SET
201351	CARTERITA
201352	BILLETERA
201353	BILLETERA
201354	BILLETERA
201355	MONEDERO
201356	MONEDERO
201357	CUADRO
201358	CUADRO
201359	CUADRO
20136	CT
201360	CUADRO
201361	BOLSA
201362	SALERO
201363	PUZZLE
201364	PUZZLE
201365	ESPEJO
201366	ADORNO
201367	CHICHE
201368	CHICHE
201369	PANT
201370	PANT
201371	PANTALON
201372	PANT
201373	BLUSA
201374	SACO
201375	SACO
201376	PULLOVER
201377	PULLOVER
201378	PULLOVER
201379	PULLOVER
201380	PULLOVER
201381	PULLOVER
201382	POLERA
201383	PULLOVER
201384	PULLOVER
201385	PULLOVER
201386	POLLERA
201387	POLLERA
201388	POLLERA
201389	POLLERA
201390	POLLERA
2013907	PAÑUELITO
2013908	PAÑUELITO
201391	POLLERA
2013910	PAÑUELITO
201392	POLLERA
201393	CAMISA
201394	CAMISA
201395	REMERA
201396	TUNICA
201397	TUNICA
201398	JEANS
201399	JEANS
2014	VASO
201400	PANTALON
201401	CHAMPION
201402	CHAMPION
201403	CHAMPION
201404	BOTIN
201405	BOTIN
201406	BOTIN
201407	CHAMPION
201408	CHAMPION
201409	CHAMPION
201410	CHAMPION
201411	CHAMPION
201412	ZAPATO
201413	CHAMPION
201414	CHAMPION
201415	BOTIN
201416	PARAGUA
201417	BUFANDA
201418	GORRA
201419	MEDIA
201420	MEDIA
201421	MEDIA
201422	MEDIA
201423	MEDIA
201424	MEDIA
201425	MEDIA
2014251	MEDIA
201426	MEDIA
201427	MEDIA
201428	MEDIA
201429	MEDIA
201430	MEDIA
201431	MEDIA
2014311	MEDIA
201432	SILLON
201433	CUADRO
201434	CUADRO
201435	ESPEJO
201436	CUADRO
201437	CUADRO
201438	CUADRO
201439	CUADRO
201440	EDREDON
201441	EDREDON
201442	EDREDON
201443	GUILLERMINA
201444	CUADRO
201445	CUADRO
201450	MEDIA
2014501	MEDIA
201451	MEDIA
2014511	MEDIA
2014530	TAZA
2015	ZAPATILLA
2015100	P&W
2015200	P&W
2015402	BLACK&DECKER
20156	WASSINGTON
201574	WASSINGTON
20158	PANTALON
20159	PANTALON
2016	DOHLER
20160	PANTALON
20161	BERMUDA
2017	CHAMPION
201746	FIDEOS
20178	COPALSA
